ts,T,H,PMS1,PMS2_5,PMS10,CO2,NO2,CO,VoC,C2H5OH
2023-04-17 08:00:01,31.144882,48.731457,65.52903,126.04296,137.69537,397.58942,250.59972,171.6878,252.7101,177.35497
2023-04-17 08:00:02,31.147076,48.727177,65.50518,125.034096,135.92677,397.1133,249.30725,171.8897,252.07086,177.11409
2023-04-17 08:00:03,31.148308,48.716297,65.20936,123.653076,133.70856,396.8539,248.4618,172.2959,251.50418,177.16287
2023-04-17 08:00:04,31.147326,48.71909,65.0421,122.349655,131.54858,396.27356,247.67865,172.63791,251.1055,176.89272
2023-04-17 08:00:05,31.14817,48.70424,64.84564,121.11685,129.36691,395.8836,246.93114,172.55618,250.79045,176.85338
2023-04-17 08:00:06,31.142784,48.698975,64.796844,120.137146,127.68911,395.1374,246.86143,173.01988,250.40266,176.82211
2023-04-17 08:00:07,31.144354,48.694332,64.6051,119.10138,125.969185,394.6558,246.71347,173.53526,250.32013,176.73727
2023-04-17 08:00:08,31.150433,48.69803,64.668594,118.281456,125.24974,394.1731,246.55457,173.75772,250.25691,176.80154
2023-04-17 08:00:09,31.14669,48.69852,64.401505,117.50896,123.97511,393.34308,246.6549,174.29384,250.04123,176.71912
2023-04-17 08:00:10,31.145344,48.699524,64.48555,116.510216,122.91977,393.14352,246.64153,174.51555,249.877,176.6891
2023-04-17 08:00:11,31.153112,48.72129,65.44126,125.85836,137.535,398.8502,251.46365,172.49593,252.24069,178.57771
2023-04-17 08:00:12,31.155338,48.7186,65.43173,124.85643,135.75555,398.39078,250.51385,172.73631,251.84058,178.42792
2023-04-17 08:00:13,31.156555,48.70976,65.17083,123.51304,133.55263,398.1489,249.89143,173.11914,251.46782,178.54948
2023-04-17 08:00:14,31.155575,48.714554,65.029015,122.234695,131.41092,397.59995,249.23062,173.42123,251.2076,178.34138
2023-04-17 08:00:15,31.156446,48.701756,64.86967,121.04436,129.26373,397.24384,248.6125,173.33777,251.03311,178.36122
2023-04-17 08:00:16,31.15106,48.69819,64.85343,120.11026,127.62089,396.53867,248.58038,173.754,250.74643,178.37936
2023-04-17 08:00:17,31.152578,48.694874,64.694374,119.122604,125.93493,396.09744,248.47134,174.25737,250.75153,178.33932
2023-04-17 08:00:18,31.158678,48.69981,64.762794,118.35295,125.26437,395.6575,248.34439,174.45816,250.76372,178.4433
2023-04-17 08:00:19,31.154964,48.701378,64.52512,117.60301,124.00544,394.8785,248.4204,174.94121,250.59998,178.38953
2023-04-17 08:00:20,31.153622,48.702866,64.62271,116.64208,122.96085,394.72504,248.42735,175.16426,250.49251,178.39525
2023-04-17 08:00:21,31.163792,48.724575,65.5804,125.99793,137.61755,399.9514,252.99208,173.1526,252.77983,180.26636
2023-04-17 08:00:22,31.166002,48.723015,65.58407,125.031525,135.87788,399.51874,252.09067,173.37572,252.44951,180.15294
2023-04-17 08:00:23,31.167242,48.715443,65.33742,123.73299,133.72415,399.30325,251.47903,173.72339,252.12611,180.2994
2023-04-17 08:00:24,31.166224,48.7211,65.20839,122.49288,131.62872,398.79074,250.80728,173.9916,251.903,180.11685
2023-04-17 08:00:25,31.167097,48.70943,65.05821,121.33647,129.53539,398.4653,250.16714,173.88145,251.75415,180.15529
2023-04-17 08:00:26,31.161732,48.70658,65.05532,120.42888,127.93179,397.80994,250.09477,174.26929,251.4842,180.18376
2023-04-17 08:00:27,31.16322,48.703957,64.902084,119.46301,126.27769,397.40958,249.95331,174.75249,251.49895,180.15846
2023-04-17 08:00:28,31.169336,48.70921,64.974014,118.711044,125.61984,397.00644,249.78868,174.93045,251.51129,180.26868
2023-04-17 08:00:29,31.165623,48.711166,64.74738,117.9776,124.38343,396.28296,249.81674,175.38301,251.34848,180.22162
