ts,T,H,PMS1,PMS2_5,PMS10,CO2,NO2,CO,VoC,C2H5OH,ID,Loc,Customer,Ph
2023-04-04 21:30:49,30.5,52.8,30,48,60,629,401,185,685,577,12,Kitchen window,H2,XXXX
2023-04-04 21:30:50,30.5,52.9,29,47,59,628,401,184,684,577,12,Kitchen window,H2,XXXX
2023-04-04 21:30:51,30.5,52.9,29,47,57,628,397,181,682,575,12,Kitchen window,H2,XXXX
2023-04-04 21:30:52,30.5,52.9,29,46,57,628,393,183,680,575,12,Kitchen window,H2,XXXX
2023-04-04 21:30:53,30.5,52.8,29,46,56,629,388,181,677,573,12,Kitchen window,H2,XXXX
2023-04-04 21:30:55,30.5,52.9,28,46,56,629,382,180,674,572,12,Kitchen window,H2,XXXX
2023-04-04 21:30:56,30.5,52.9,28,47,57,629,381,181,672,571,12,Kitchen window,H2,XXXX
2023-04-04 21:30:57,30.5,52.8,29,47,57,629,380,181,671,569,12,Kitchen window,H2,XXXX
2023-04-04 21:30:58,30.5,52.8,29,47,56,629,377,179,668,568,12,Kitchen window,H2,XXXX
2023-04-04 21:30:59,30.5,52.8,30,48,57,629,375,179,666,567,12,Kitchen window,H2,XXXX
2023-04-04 21:31:00,30.5,52.8,30,48,59,628,371,178,663,566,12,Kitchen window,H2,XXXX
2023-04-04 21:31:01,30.5,52.8,30,48,59,628,370,178,660,565,12,Kitchen window,H2,XXXX
2023-04-04 21:31:02,30.5,52.8,29,47,59,628,369,178,657,563,12,Kitchen window,H2,XXXX
2023-04-04 21:31:04,30.5,52.8,29,47,59,628,365,177,654,562,12,Kitchen window,H2,XXXX
2023-04-04 21:31:05,30.5,52.8,29,47,58,628,366,179,654,561,12,Kitchen window,H2,XXXX
2023-04-04 21:31:06,30.5,52.8,29,47,58,628,365,178,652,561,12,Kitchen window,H2,XXXX
2023-04-04 21:31:07,30.5,52.8,29,47,59,628,366,179,651,560,12,Kitchen window,H2,XXXX
2023-04-04 21:31:08,30.5,52.8,30,48,61,627,367,179,651,560,12,Kitchen window,H2,XXXX
2023-04-04 21:31:09,30.5,52.8,30,48,61,627,366,178,650,559,12,Kitchen window,H2,XXXX
2023-04-04 21:31:10,30.5,52.8,30,47,58,628,366,179,651,559,12,Kitchen window,H2,XXXX
2023-04-04 21:31:11,30.5,52.8,30,47,58,627,363,176,647,559,12,Kitchen window,H2,XXXX
2023-04-04 21:31:12,30.5,52.8,31,48,58,627,363,178,648,558,12,Kitchen window,H2,XXXX
2023-04-04 21:31:14,30.5,52.8,31,48,58,627,363,178,646,558,12,Kitchen window,H2,XXXX
2023-04-04 21:31:15,30.5,52.8,31,48,58,627,363,178,646,557,12,Kitchen window,H2,XXXX
2023-04-04 21:31:16,30.5,52.8,31,48,58,626,367,180,647,557,12,Kitchen window,H2,XXXX
2023-04-04 21:31:17,30.5,52.8,31,48,58,626,370,180,649,557,12,Kitchen window,H2,XXXX
2023-04-04 21:31:18,30.5,52.8,31,48,58,627,371,181,649,558,12,Kitchen window,H2,XXXX
2023-04-04 21:31:19,30.5,52.8,31,48,58,627,371,181,650,558,12,Kitchen window,H2,XXXX
2023-04-04 21:31:20,30.5,52.8,30,48,58,627,372,181,650,558,12,Kitchen window,H2,XXXX
2023-04-04 21:31:21,30.5,52.8,30,48,58,626,375,181,651,558,12,Kitchen window,H2,XXXX
2023-04-04 21:31:23,30.5,52.8,31,48,58,626,376,181,651,559,12,Kitchen window,H2,XXXX
2023-04-04 21:31:24,30.5,52.8,31,48,58,626,375,180,651,559,12,Kitchen window,H2,XXXX
2023-04-04 21:31:25,30.5,52.8,30,47,57,626,374,180,651,559,12,Kitchen window,H2,XXXX
2023-04-04 21:31:26,30.5,52.8,30,47,57,625,371,179,649,558,12,Kitchen window,H2,XXXX
2023-04-04 21:31:27,30.5,52.8,30,47,57,625,370,179,649,558,12,Kitchen window,H2,XXXX
2023-04-04 21:31:28,30.5,52.8,30,48,58,625,372,180,649,557,12,Kitchen window,H2,XXXX
2023-04-04 21:31:29,30.5,52.8,30,48,58,625,371,180,649,558,12,Kitchen window,H2,XXXX
2023-04-04 21:31:30,30.5,52.8,30,48,58,626,375,181,650,558,12,Kitchen window,H2,XXXX
2023-04-04 21:31:32,30.5,52.8,30,48,58,626,374,180,650,558,12,Kitchen window,H2,XXXX
2023-04-04 21:31:33,30.5,52.8,30,48,59,625,376,180,650,558,12,Kitchen window,H2,XXXX
2023-04-04 21:31:34,30.5,52.8,30,48,59,624,378,181,652,559,12,Kitchen window,H2,XXXX
2023-04-04 21:31:35,30.5,52.8,30,48,59,625,378,180,652,559,12,Kitchen window,H2,XXXX
2023-04-04 21:31:36,30.5,52.8,30,49,60,625,378,181,653,559,12,Kitchen window,H2,XXXX
2023-04-04 21:31:37,30.5,52.8,30,49,60,624,377,181,652,559,12,Kitchen window,H2,XXXX
2023-04-04 21:31:38,30.5,52.8,30,49,60,625,375,181,651,559,12,Kitchen window,H2,XXXX
2023-04-04 21:31:39,30.5,52.8,30,49,60,625,378,181,653,559,12,Kitchen window,H2,XXXX
2023-04-04 21:31:40,30.5,52.8,30,49,60,625,379,181,654,559,12,Kitchen window,H2,XXXX
2023-04-04 21:31:42,30.5,52.8,30,50,61,625,381,182,655,560,12,Kitchen window,H2,XXXX
2023-04-04 21:31:43,30.5,52.8,30,50,61,624,383,183,656,560,12,Kitchen window,H2,XXXX
2023-04-04 21:31:44,30.5,52.8,29,50,61,624,383,182,657,560,12,Kitchen window,H2,XXXX
2023-04-04 21:31:45,30.5,52.8,29,50,61,624,385,183,658,561,12,Kitchen window,H2,XXXX
2023-04-04 21:31:46,30.5,52.8,29,50,62,624,385,182,658,561,12,Kitchen window,H2,XXXX
